fecha,idProducto,nombreProducto,demanda_predicha
2025-01-20,1736871131068,Volt azul (bala azul Ball azul bola azul Bol azul ) ),1.52
2025-01-20,1736871170912,Queque,1.33
2025-01-20,1736871238422,Harina pan,1.58
2025-01-20,1736871307601,Aceite mirasol litro,1.58
2025-01-20,1736958764229,Sporade chico ( Es por ahí ),2.36
2025-01-20,1736959106643,Nick chocolate grande,1.34
2025-01-20,1736959229441,Chupetín,1.45
2025-01-20,1736959408826,rix chica galleta,1.12
2025-01-20,1736959595297,Coca-cola chica 237ml,1.15
2025-01-20,1736960027613,Pepsi 1 litro,1.61
2025-01-20,1736963453171,Leche gloria amarilla tarro,1.36
2025-01-20,1736964234318,Papel suave,1.07
2025-01-20,1736964563786,Coca-Cola de 2 litros y medio retornable,1.65
2025-01-20,1736964788887,Ajinomen de gallina Sin picar (allí no men),1.4
2025-01-20,1736964875200,Cigarro golden rojo,2.34
2025-01-20,1736966347433,Shampoo pantene rosado (champú pantene rosado),1.23
2025-01-20,1736966542774,Cerveza pilsen normal,2.18
2025-01-20,1736966574084,Coca-cola personal,1.8
2025-01-20,1736971188791,Cuates picante,1.22
2025-01-20,1736971210947,Papel noble,1.21
2025-01-20,1736971689507,Pañal huggies doble xg,2.32
2025-01-20,1736971728503,Pepsi chica,2.09
2025-01-20,1736972545282,Galleta animalito chica 60 gramos,1.09
2025-01-20,1736977440816,Gaseosa KR personal,1.05
2025-01-20,1736977896870,Inca kola litro y medio (1.5L),1.26
2025-01-20,1736992924874,Flan,1.22
2025-01-20,1736992974378,Guaraná 3 litros,1.34
2025-01-20,1736993026408,Leche gloria tarro chico,1.05
2025-01-20,1736993074714,Fósforo,1.05
2025-01-20,1736993116926,Helado kit kat de litro donofrio,1.61
2025-01-20,1736977944754,Inca kola personal,1.36
2025-01-20,1737130232468,Inca kola de un litro de vidrio (1L),1.17
2025-01-20,1737130300496,Cerveza pilsen de un litro (1L),1.32
2025-01-20,1737230270045,Agua cielo grande 2.5litros,1.32
2025-01-20,1737230321602,Helado frío rico,1.17
2025-01-21,1736572475069,Piqueos,1.39
2025-01-21,1736791587149,Monster,1.74
2025-01-21,1736792470256,Helado sorpresa,1.39
2025-01-21,1736793541376,Leche gloria tarro grande,1.65
2025-01-21,1736817949478,Casino de menta grande,1.97
2025-01-21,1736870729032,Agua cielo chica,1.43
2025-01-21,1736870813358,Agua cielo litro,1.83
2025-01-21,1736871131068,Volt azul (bala azul Ball azul bola azul Bol azul ) ),1.63
2025-01-21,1736871170912,Queque,1.42
2025-01-21,1736871238422,Harina pan,1.72
2025-01-21,1736871307601,Aceite mirasol litro,1.72
2025-01-21,1736958764229,Sporade chico ( Es por ahí ),2.56
2025-01-21,1736959106643,Nick chocolate grande,1.44
2025-01-21,1736959229441,Chupetín,1.55
2025-01-21,1736959408826,rix chica galleta,1.16
2025-01-21,1736959595297,Coca-cola chica 237ml,1.2
2025-01-21,1736960027613,Pepsi 1 litro,1.73
2025-01-21,1736963453171,Leche gloria amarilla tarro,1.42
2025-01-21,1736964234318,Papel suave,1.11
2025-01-21,1736964563786,Coca-Cola de 2 litros y medio retornable,1.76
2025-01-21,1736964788887,Ajinomen de gallina Sin picar (allí no men),1.5
2025-01-21,1736964875200,Cigarro golden rojo,2.51
2025-01-21,1736966347433,Shampoo pantene rosado (champú pantene rosado),1.28
2025-01-21,1736966542774,Cerveza pilsen normal,2.34
2025-01-21,1736966574084,Coca-cola personal,1.88
2025-01-21,1736971188791,Cuates picante,1.28
2025-01-21,1736971210947,Papel noble,1.29
2025-01-21,1736971689507,Pañal huggies doble xg,2.52
2025-01-21,1736971728503,Pepsi chica,2.23
2025-01-21,1736972545282,Galleta animalito chica 60 gramos,1.1
2025-01-21,1736977440816,Gaseosa KR personal,1.06
2025-01-21,1736977896870,Inca kola litro y medio (1.5L),1.3
2025-01-21,1736992924874,Flan,1.25
2025-01-21,1736992974378,Guaraná 3 litros,1.4
2025-01-21,1736993026408,Leche gloria tarro chico,1.06
2025-01-21,1736993074714,Fósforo,1.06
2025-01-21,1736993116926,Helado kit kat de litro donofrio,1.68
2025-01-21,1736977944754,Inca kola personal,1.4
2025-01-21,1737130232468,Inca kola de un litro de vidrio (1L),1.2
2025-01-21,1737130300496,Cerveza pilsen de un litro (1L),1.38
2025-01-21,1737230270045,Agua cielo grande 2.5litros,1.35
2025-01-21,1737230321602,Helado frío rico,1.2
